pdf_page,file,location_hint,original_text,corrected_text,term,action,confidence,notes
017,full,"i 周摄人25种以上，合理搭配一 三 = | 日三餐。成年人每天摄和人谷类 , B | 有 200-300g，其中全谷物和杂豆类 上",摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
017,full,| 素、矿物质和膳食纤维损失而导致普养素摄人量失衡。研究证据表明 ，腾食不平衡、 分 | 全谷物减少与腾食相关慢性病发 生风险增加密切相关。坚,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
017,full,‘ 人 人体正常生长发育及各种生理活 动的需要，提高机体免疫力，降 低腾食相关疾病的发生风险。 | | | 3 OG | | | 3 |,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
017,full,。 | 合理搭配是指食物种类和重量在一日三餐中合理化分配。中国居民平衡腾食宝 塔用五层把食物多少表现出来，谷类为主是平衡腾食模式的重要特征。谷类食,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
017,full,"以满足人体所需的能量及全部营养素。只有经 一 过合理搭配的多种食物组成的腾食,才能满足人体对能量和各种营养素 的需要。 | 合理搭配是指食物种类和",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
017,full,体所需能量最经济和最重要的食物来源，也是 B 族维生 | 素、矿物质、腾食纤维和蛋白质的重要食物来源，在保障儿童生长发育、维持人体 | CUE,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
017,full,理化分配。中国居民平衡腾食宝 塔用五层把食物多少表现出来，谷类为主是平衡腾食模式的重要特征。谷类食物含 有丰富的碳水化合物，是人体所需能量最经济和最,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
017,full,致普养素摄人量失衡。研究证据表明 ，腾食不平衡、 分 | 全谷物减少与腾食相关慢性病发 生风险增加密切相关。坚持谷类 A | 为主，保证全谷物及,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
017,full,"血管疾病、结直肠瘤竺 上 | 疾病的发生风险。 ‘a, | 平衡腾食应做到食物多样， i = | 平均每天摄入 12 种以上食物，每",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
018,full,"、杂豆类及暮类食物。不同年龄的轻身体 x 活动水平人群每天或每周谷昔类报信量建议见表 1-1, ~ 表 1-1 不同人群谷苗类食物建议摄入量 食",报信,摄入,报信,corrected,medium,批量规则修正；逐条保留上下文。
018,full,ER. SRA e 关疾病的发生风险具有重要作用。莫类含有丰富的淀粉、腾食纤维，并含有维生素和 | ed 矿物质。因此，每天宜摄入一定量的全谷,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
018,full,面相比，全谷物和杂豆可提供更多的 B 族维生素、 | =f 矿物质、腾食纤维等营养成分，对降低肥胖、2 ROR ROR DIVER. SRA e,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
019,full,物多样，才有可能达到平衡腾食。按照日三餐分配食物品种 | 数，早餐至少摄和 3~5 种; 午餐摄和人 4-6 种; 晚餐 4-5 种; 加上零食,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
019,full,类为豪调油和盐。 i 如果用“数值”来形容食物多样，可以理解为平均每天摄和不同品种食物达到 12 种以上，每周达到 25 种以上(表 1-2 )，,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
019,full,腾食。按照日三餐分配食物品种 | 数，早餐至少摄和 3~5 种; 午餐摄和人 4-6 种; 晚餐 4-5 种; 加上零食 1-2 种。 L |,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
019,full,"2. AMS a 食物多样指一日三餐膳食的食物种类全、品样多，是平衡腾食的基础，应由五大 类食物组成: 第一类为谷募类，包括谷类 (GeO),",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
019,full,g (—) 什么是食物多样和合理搭配 7 1. 平衡腾食模式 | 腾食模式是指长时间形成的饮食组成方式，包括膳食中各食物的品种、数量及其 1,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
019,full,mitis g (—) 什么是食物多样和合理搭配 7 1. 平衡腾食模式 | 腾食模式是指长时间形成的饮食组成方式，包括膳食中各食物的品种,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
019,full,我国居民膳食营养素参考摄人量及科学研究 ; 成果而设计，指一段时间内，腾食组成中的食物种类和比例可以最大限度地满足不同 ， 年龄、不同能量水平的,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
019,full,计 12 25 | | 只有一日三餐的食物多样，才有可能达到平衡腾食。按照日三餐分配食物品种 | 数，早餐至少摄和 3~5 种; 午餐摄和,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
019,full,食中的食物种关和比 例，才能满足个体的营养需要。 | a 。 合理腾食是在平衡草食的基础上，考虑到 Beant | 健康状况、地域资源、生活,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
019,full,饮食组成方式，包括膳食中各食物的品种、数量及其 1 比例。 7 平衡腾食模式是根据营养科学原理、我国居民膳食营养素参考摄人量及科学研究 ; 成,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
019,full,"不同品种食物达到 12 种以上，每周达到 25 种以上(表 1-2 )，豪调油和调味品不计算在内。 单位，种 7 ak, BX KEK 3 5",豪调,烹调,豪调,corrected,medium,批量规则修正；逐条保留上下文。
019,full,，包括畜、禽、鱼、蛋、奶; 第四类为大豆类和坚果; BRE | 五类为豪调油和盐。 i 如果用“数值”来形容食物多样，可以理解为平均每天摄和不同,豪调,烹调,豪调,corrected,medium,批量规则修正；逐条保留上下文。
020,full,2019 年。 平衡腾食宝塔很好地阑释了食物多样和合 理搭配的原则，按照腾食宝塔的塔式结构，由 oa 多到少地措配食物，可以很好地满足营养需 |,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
020,full,资料来源:《 中国营养科学全书 (第 2 版))，2019 年。 平衡腾食宝塔很好地阑释了食物多样和合 理搭配的原则，按照腾食宝塔的塔式结构，由,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
022,full,了大量B 重要举措，是新形势下保障粮食安全、改 | 族维生素、矿物质、腾食纤维和植物化 | 善居民膳食结构的积极探索，也是主粮消 学物。 |,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
023,full,"RRY AA, i (一 ) SGT A AoE ETE | 平衡腾食能最大程度地满足人体正常生长发育、免疫力和生理功能需要,满足机 “第 体",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
023,full,[ 关键事实 】 © 食物多样是实践平衡膳食的基础，食物多样、平衡腾食才能满足人体的营养 7 © 合理搭配是实现平衡膳食的关键，只有将各类,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
024,full,量各不相同，多的每天需要上百克，少的仅几微克。不 同人群的膳食营养素参考报信量可查阅附录二。 食物多样才能保障膳食能量平衔。和蛋白质、脂肪和碳水化合,报信,摄入,报信,corrected,medium,批量规则修正；逐条保留上下文。
024,full,食物是蛋白质和脂肪的 良好来源。只有丰富食物种类，提高食物多样性，才能使腾食中的产能营养素达到理 | 想范围 (表 1-6). 表 1-6 中国成,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
025,full,。 1. 膳食模式变化和食物消费变迁 E 随着我国社会经济的发展，居民腾食结构发生了较大的变化。中国统计年鉴(表 1-8 ) 和历次全国营养调查或,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
025,full,同时，植物性食物特别是谷类食物的消费量 | 下降。谷类食物提供的能量占腾食总能量的比例从 1982 年的71.2% 下降到 2015一2017,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
025,full,均衡营养，是免疫力保持活力、维持战斗能力的根本。 | (=) 我国居民腾食模式和营养状况变迁 “五谷为养，五果为助，五畜为益，五菜为充”食物多样的,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
025,full,生存至关重要。人体内无数 eS ， 个细胞不断地进行新陈代谢，每日三餐腾食为其主要营养来源。没有哪种单一食物或 i 1 补品可以预防疾病并持续有,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
027,full,"化趋势见表 1-11。过去的 40 年间，我国居民 会 每标准人日能量摄和人量呈下降趋势，但相对于身体活动状况,我国居民能量摄人量是 a |",摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
027,full,食物与动物性食物供能比的变化趋势 fa | 般 我国成年人三大营养素摄和人状况的变化趋势见表 1-11。过去的 40 年间，我国居民 会 每标,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
028,full,305.8g，暮类 41.9g。与 8 1982 年相比，谷类食物的摄和人量下降了近 200gd，慕类下降了约 121g/d。城市居民和 农村居,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
028,full,了近 200gd，慕类下降了约 121g/d。城市居民和 农村居民谷匣类摄和人量都曼下降趋势 (图 1-3 )。 600 500 est 国医类 了,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
028,full,方健康腾食模式的代表。其特点是食物多样 、清淡少盐、蔬 菜水果、鱼虾水产摄和人量高、奶类豆类多等，并有较高的活动时间和运动水平。我国 福建广东等地也,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
028,full,. REERASLAWSAMKDIT J 从我国居民 1982 年至今腾食能量的食物来源变迁来看 (表 1-10 )，谷类食物仍然 Ho 是我国居,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
028,full,".4 321.2 300.8 266.7 我国物产丰富,不同地区的腾食模式逐渐形成。对大部分省市而言 ，腾食结构均以 植物性食物为主，动物性食",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
028,full,"66.7 我国物产丰富,不同地区的腾食模式逐渐形成。对大部分省市而言 ，腾食结构均以 植物性食物为主，动物性食物为辅，有的地区谷类食物消费量大，动物",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
028,full,命方面表现出明显差 别。近年来，我国以浙江、上海、江苏等为代表的江南地区腾食，被认为是健康中国 膳食模式的代表，也是东方健康腾食模式的代表。其特点是,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
028,full,物为辅，有的地区谷类食物消费量大，动物性食物消费量小。 研究表明，在传统腾食模式的演变过程中，不同地区的居民腾食结构逐渐分化，也逐渐 形成了优良膳食,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
028,full,物性食物消费量小。 研究表明，在传统腾食模式的演变过程中，不同地区的居民腾食结构逐渐分化，也逐渐 形成了优良膳食模式;同时在慢性病的发病风险 、死亡,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
028,full,物来源变迁来看 (表 1-10 )，谷类食物仍然 Ho 是我国居民主要的腾食能量来源，但是消费量呈逐年下降的趋势。根据 2015一2017 年 售。,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
028,full,苏等为代表的江南地区腾食，被认为是健康中国 膳食模式的代表，也是东方健康腾食模式的代表。其特点是食物多样 、清淡少盐、蔬 菜水果、鱼虾水产摄和人量高,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
028,full,配 > 表格候选：表 1-11 表 1-11 ”我国居民每标准人日腾食三大营养素平均报入量 IE 能量 /kcal 2 491.3 2 3,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
029,full,"胚 | | FAG, SOFA ASAI], AK OBE) 主要由腾食纤维、B 族维生素、 | 矿物质和植物化学物组成。糊粉层〈 外胚层 )",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
030,full,"属。 含量非常丰富;甘莫中的 B- 胡萝卜素含量比谷类高，还含有丰富的腾食纤维。 ie 4, ARE is 谷暮杂豆类食物是碳水化合物、蛋白质",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
030,full,"营养与健康状况监测数据,我国居民谷车类及 BS 杂豆类食物提供的营养素对腾食的贡献率见图 1-6。 钊ER ] (ae ee 铁 DE aire",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,人量较低， 蛋白质来源以植物性食物为主，但某些优质蛋白质、矿物质和维生素摄和不足，易增 | 加营养缺乏病患病风险。 动植物性食物结合型: 其腾食中,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
031,full,| or” - | 2 : (四 ) 膳食模式与健康关 腾食模式的形成受一个国家 或地区的人口、农业生产、食物 流通、食品加工、消费,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,、奶及鱼虾年人均 消费量共计仅为 20-30kg。长期采用此型腾食模式，腾食蛋白质和脂肪的摄人量较低， 蛋白质来源以植物性食物为主，但某些优质蛋白质,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,、蛋等量较 分 大，而年人均谷类消费量仅为 二四 50~70kg。其腾食营养组成特点为高能量、高重自质、高脂肪、低腾食纤维。长期以动 会 | 物,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,二四 50~70kg。其腾食营养组成特点为高能量、高重自质、高脂肪、低腾食纤维。长期以动 会 | 物性食物为主的饮食，优点是富含蛋白质、矿物质、维,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,区的饮食结构趋于此膳食模式。 除上述 3 种类型之外，还有一些各具特点的腾食模式，例如地中海膳食模式、 DASH 膳食等。地中海腾食模式由蔬菜、水果,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,有一些各具特点的腾食模式，例如地中海膳食模式、 DASH 膳食等。地中海腾食模式由蔬菜、水果、海产品、五谷杂粮、坚果和橄槛油以及 少量的牛肉和乳制品,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,海产品、五谷杂粮、坚果和橄槛油以及 少量的牛肉和乳制品、酒等组成，是以高腾食纤维、高维生素、低亿和脂肪酸为特点 | 的膳食结构。 | | 平衡,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,物性食物构成比例适宜，优质蛋白质 约占膳食蛋白质的 50% 以上。这种腾食模式既可满足人体对各种营养素的需要，又可 | 预防慢性病，一些国家和地,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,生长发育、繁衔孕育、长寿健康功能早已得到证实。 ， 现有平衡 /合理腾食与健康关系的国内外研究表明，遵循平衡 / 合理膳食模式还可 | 以显著,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,"的发生风险。 | 植物性食物为主型; 常见于亚洲和部分非洲国家和地区。腾食组成以植物性食物 为主，动物性食物较少,年人均消费粮食多达 140~20",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,素摄和不足，易增 | 加营养缺乏病患病风险。 动植物性食物结合型: 其腾食中植物性和动物性食物构成比例适宜，优质蛋白质 约占膳食蛋白质的 50%,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
031,full,，而肉、蛋、奶及鱼虾年人均 消费量共计仅为 20-30kg。长期采用此型腾食模式，腾食蛋白质和脂肪的摄人量较低， 蛋白质来源以植物性食物为主，但某些,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
032,full,增加摄入吾 iE PATROL i Ss 风险 只 忆 增加摄和可降低心血管疾病发 。16 条系统评价，1 项队列研究，1 项病例对照,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
032,full,式 ) 具有食 物多样化、以谷类食物为主、高膳食纤维摄人、低盐低糖低脂肪摄和的特点。平衡 /合 理膳食模式与人体健康关系的综合分析见表 1-12。,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
033,full,019 年一项纳入超过 4 万例成年人的系统综述结 | 果显示，地中海腾食模式为心血管系统疾病的保护因素。与得分最低组相比，得分最 高组人群心血管,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
033,full,62 | | 40-69 岁人群的队列研究结果 “和 ao 显示，健康腾食恒式降低1 sy ER | ( 95%C1) 39 0.85 (0.7,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
033,full,"价等级为B级。2019 年一项纳入 28 个研究的系统综述结果显示，健康腾食模式可 诺 降低 19% 结直肠痛风险, 其 gf RR(95% C1",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
033,full,列研究的研究对象为中国人群 ) 进行综合评 | 价，结果显示平衡/合理腾食模式为心血管疾病的保护因素，综合评价等级为B 级。 2015 年一项纳入,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
033,full,年一项纳入超过 30 万例 15 岁以上人群的系统综述结 果显示，健康腾食模式(富含蔬菜、水果、全谷物、橄槛油、鱼、大豆、家禽和低脂 | 乳制品,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
033,full,"研究和 4 项病例对 到 照研究 ) 进行综合评价，结果显示平衡 /合理腾食模式是结直肠瘤的保护因素,综合 会 评价等级为B级。2019 年一项纳入",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
033,full,级。 2015 年一项纳入超过 50 万例成年人的系统综述结果显示，健康腾食模式为心血管系 统疾病的保护因素。与得分最低组相比，最高组人群心血管疾病,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
033,full,面研究、 | 1 项病例对照研究 ) 进行综合评价，结果显示平衡/合理腾食模式为高血压的保护因 | 素，综合评价等级为B级。2016 年一项纳入,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
034,full,U 形关联，低碳水化合物 e ERA (<40% ) 和高碳水化合物摄和人 (>70% ) 都比中等摄人量具有更高的死亡风险。 多项研究都表,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
034,full,表明碳水化合物的摄入量与死亡率之间可能呈 了 形关系，提示碳水化合物 的摄和人量并非越低越好。 1.8 人 1.6 4 8 xe fi e,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
035,full,"7 0.88 (0.84, 0.92); 剂量 - 效应关系显示，全谷物摄和人每增加 30g/d，全因 死亡风险可降低8%，RR (95%CT) 为",摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
035,full,e | 共纳入 2 篇文献作为主要证据。目前有充足的证据表明，增加全谷物摄和可降低 从 全因死亡风险、2 型精尿病和心也管疾病的发病风险，有助于维持,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
036,full,%CT) 为 0.74 (0.69，0.80 )。 《4 ) 增加全谷物摄和人可降低结直肠癌的发病风险 共对7篇文献(包括 5篇系统评价和 2 项队,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
036,full,"0.79 (0.72，0.86 )。剂量 -反应关 系显示，全谷物食品摄和人增加 90g/d，结肠瘤发病风险降低 17%, RR ( 95%C7",摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
036,full,中国、印度、瑞典人群) 的系统评价显示，与 基线值或对照组相比，增加匡麦摄和人可明显降低总胆固醇 0.5mmolL ( 95%CT: -0.8~ |,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
036,full,人为主的队列研究和横断面研究 的 Meta 分析结 时 果表明，全谷物摄和人量>48g/d 的人群与摄人量 <8g/d 的人群相比，甚BMI降低,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
036,full,叉对照研究和2 项自身前后对照研究 ) 进行综合评价，结 果显示增加节麦摄和人可具有改善血脂异常的作用，综合评价等级为B 级。2016 年一 项纳入,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
036,full,研究的系统评价结果表明，增加全谷物摄 和与2型糖尿病存在非线性相关，每天摄和人全谷物食品2份 (相当于 60g ) 以上，可获 得较大的健康效益;,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
037,full,胖发生 部 风险的病例对照研究发现，肥胖与油炸暮片的摄入频率有关，增加报信油炸薯片的频 分 F 率，肥胖发生风险增加 14%，OR (95%CI,报信,摄入,报信,corrected,medium,批量规则修正；逐条保留上下文。
037,full,薯类与人体健康关系的综 | 合分析见表 1-12. (1 ) 增加暮类摄和人可降低便秘的发病风险 共对8篇文献[包括 7 项随机对照试验研究和 1,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
037,full,人体营养素摄入不足或缺乏。 Y 2. 合理膳食与免疫力 科学合理的营养腾食能有效改善营养状况、增强抵抗力，有助于新冠肺炎防控 与救治。中国营养学会,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
037,full,外肠内营养学分会，针对新 lV 冠肺炎防控和救治特点，并根据《中国居民腾食指南》和国家卫生健康委员会 2020 年发布的《新型冠状病毒感染的肺炎诊,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
038,full,6。因此，长期食用精白米和精白面对健 Bo 康不利，可造成维生素和矿物质摄和不足，甚至导致维生素钠乏病，如维生素 BH => 到可引起脚气病。所以大,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
038,full,胞属于非特异 性防御机制，这两种免疫功能密切关联。 维持免疫力须依靠合理腾食和多种营养素的联合作用，其中蛋白质扮演着核心角 色，是生命的物质基础。关,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
038,full,"被 Bo 分离出去，仅留下淀粉含量高的胚乳部分，从而导致营养价值下降，腾食纤维损失严 英 。 重, B族维生素和矿物质的损失占 6096~8096",腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
039,full,，但 GL 值随着食用量的变化而变化。GI 和 GL 的联合应用，有助于腾食血 糖管理，对指导糖尿病患者和肥胖人群的饮食具有重要的意义。 5. 食物,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
040,full,. 特殊类型腾食模式 近年来，基于对疾病的丽民和某些疾病治疗的需要，多样腾食模式在网络上传播 兴起，如低碳水化合物饮食、生柄饮食、轻食、旗合等。这些,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
040,full,AR KA ER 食物搭配对 GI 也有一定的影响。富含蛋白质、脂肪及腾食纤维的食物做成的混合 饭菜，均可降低血糖生成指数。 6. 如何看待营养强,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
040,full,。值得注意的是，营养强化食品不是越多越好，不能盲目食用。 7. 特殊类型腾食模式 近年来，基于对疾病的丽民和某些疾病治疗的需要，多样腾食模式在网络上,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
040,full,充足的天然营养素。对于健康人来说，除碘等个别营 养素外，通常可以通过合理腾食满足机体对营养素的需要。因为天然食物中除了含有 f 。。 多种营养成分，,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
040,full,兴起，如低碳水化合物饮食、生柄饮食、轻食、旗合等。这些均不是健康人群的腾食 模式，也没有证所表明长戎采用这些腾食模式更健康。 ## 准则二 吃,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
040,full,轻食、旗合等。这些均不是健康人群的腾食 模式，也没有证所表明长戎采用这些腾食模式更健康。 ## 准则二 吃动平衡，健康体重 <!-- pdf,腾食,膳食,腾食,corrected,high,批量规则修正；逐条保留上下文。
042,full,和营养不良，可导致 机体免疫力降低，增加疾病的发生风险。体重过重反映能量摄和人相对过多或身体活动 不足，易导致超重和肥胖，可显著增加 2 型糖尿病、,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
043,full,( 18-64 ) 的 BML 应在 as ， 18.5-23.9kgjm( 表 1-15 )。从降低死亡率考虑， 一 65 岁以上老年人不必,kgjm,kg/m²,kgjm,corrected,medium,批量规则修正；逐条保留上下文。
044,full,持体重或增加体重的需求也会影响能量需要量。 根据《中国居民膳食营养素参考摄和人量 (2013 版 )》 我国成年人 (18-49 岁) 低 身体活动,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
045,full,(6) 减少在外就餐; 在外就餐或聚餐时，_般时间长，会不自沉增加食物的摄和 fF ， 量，导致进食过量。 二 | 的 (四 ) 身体活动量多少为,摄和,摄入,摄和,corrected,medium,批量规则修正；逐条保留上下文。
