candidate_no,table_id,title_original,title_reviewed,pdf_page,status_reviewed,structure_reviewed,structure_confidence,content_confidence,page_image,review_notes
046,表 1-54,表 1-54 ”平衡膳食宝塔的各类食物量 和,表 1-54 平衡膳食宝塔的各类食物量,153,converted,true,high,high,qa/table_page_images/page_153.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
047,表 1-55,表 1-55 各类食物提供的主要营养素,表 1-55 各类食物提供的主要营养素,155,converted,true,medium,medium,qa/table_page_images/page_155.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
048,表 1-56,表 1-56 ”不同年龄轻体力劳动者的能量需要量 ( EER ) 会,表 1-56 不同年龄轻体力劳动者的能量需要量（EER）,157,converted,true,medium,medium,qa/table_page_images/page_157.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
049,表 1-54,表 1-54 根据能量需求确定食物用量。 上,表 1-54 根据能量需求确定食物用量。 上,157,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_157.png,正文引用表 1-54，不是新表或续表。
050,表 1-54,表 1-54 建议食用量作为参考，表示的 a,表 1-54 建议食用量作为参考，表示的 a,157,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_157.png,正文继续说明表 1-54，不是新表或续表。
051,表 1-57,表 1-57 2.000kcal 能量的一日餐举例,表 1-57 2000kcal 能量的一日餐举例,159,converted,true,medium,medium,qa/table_page_images/page_159.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
052,表 1-58,表 1-58 ”建议“多吃”和“少吃”的食物举例,表 1-58 建议“多吃”和“少吃”的食物举例,161,converted,true,medium,medium,qa/table_page_images/page_161.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
053,表 1-59,"表 1-59, MEARNS EMSRARSRDPRI BH, A: RRA",表 1-59 烹饪对蔬菜中维生素 C 含量的影响,166,converted,true,medium,medium,qa/table_page_images/page_166.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
054,表 1-60,表 1-60 西餐中常见的牛肉成熟度和辨认方法,表 1-60 西餐中常见的牛肉成熟度和辨认方法,172,converted,true,medium,medium,qa/table_page_images/page_172.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
055,表 2-1,表 2-1 ”妊娠期妇女体重增长范围和妊娠中晚期周增重推荐值,表 2-1 妊娠期妇女体重增长范围和妊娠中晚期周增重推荐值,194,converted,true,high,high,qa/table_page_images/page_194.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
056,表 2-2,表 2-2 孕中、晚期一日食谱举例 * L,表 2-2 孕中、晚期一日食谱举例,195,converted,true,medium,medium,qa/table_page_images/page_195.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
057,表 2-2,续表（接 表 2-2）,续表 2-2 孕中、晚期一日食谱举例,196,merged_continuation,true,medium,medium,qa/table_page_images/page_196.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
058,表 2-3,表 2.3 ”妇女备孕和孕期一日食物推荐量( 低至中度身体活动水平) a,表 2-3 妇女备孕和孕期一日食物推荐量（低至中度身体活动水平）,197,converted,true,high,high,qa/table_page_images/page_197.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
059,表 2-4,表2-4 乳母一天食谱举例 (能量2 250kcal/d ),表 2-4 乳母一天食谱举例（能量 2250kcal/d）,202,converted,true,medium,medium,qa/table_page_images/page_202.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
060,表 2-6,表2-6 获得1000mg 钙的食物组合,表 2-6 获得 1000mg 钙的食物组合,204,converted,true,high,high,qa/table_page_images/page_204.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
061,表 2-7,表 2-7。,表 2-7。,212,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_212.png,正文引用“表 2-7”，不是表题。
062,表 2-7,表2-7 ”吸出母乳的保存条件和人允许保存时间,表 2-7 吸出母乳的保存条件和允许保存时间,212,merged_continuation,true,high,high,qa/table_page_images/page_212.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
063,表 2-9,表 2.9。,表 2.9。,260,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_260.png,正文引用“表 2-9”，不是表题。
064,表 2-8,表 2-8 ”学龄前儿童每日各类食物建议摄入量,表 2-8 学龄前儿童每日各类食物建议摄入量,261,converted,true,high,high,qa/table_page_images/page_261.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
065,表 2-9,表2-9 一日食谱举例 1,表 2-9 一日食谱举例,261,merged_continuation,true,medium,medium,qa/table_page_images/page_261.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
066,表 2-10,表2.10 “推荐和限制的夫食 l,表 2-10 推荐和限制的零食,263,converted,true,medium,medium,qa/table_page_images/page_263.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
067,表 2-11,表 2-11。,表 2-11。,272,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_272.png,正文引用“表 2-11”，不是表题。
068,表 2-11,表 2-11 学龄儿童一周身体活动示例,表 2-11 学龄儿童一周身体活动示例,273,merged_continuation,true,high,high,qa/table_page_images/page_273.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
069,表 2-12,表 2-12。应综合分析摄食情况、消化吸收能力、体格检查、人体测量、体成,表 2-12。应综合分析摄食情况、消化吸收能力、体格检查、人体测量、体成,287,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_287.png,正文引用“见表 2-12”，不是表题。
070,表 2-12,表 2-12 ”微型营养评估简表 ( MNA-SF ),表 2-12 微型营养评估简表（MNA-SF）,287,merged_continuation,true,high,high,qa/table_page_images/page_287.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
071,表 2-13,表2-13 Freid 衰弱评估方法,表 2-13 Fried 衰弱评估方法,288,converted,true,high,high,qa/table_page_images/page_288.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
072,表 2-14,表 2-14。 ae,表 2-14。 ae,289,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_289.png,正文引用“表 2-14”，不是表题。
073,表 2-14,表 2-14 ”饮水试验及结果判断,表 2-14 饮水试验及结果判断,289,merged_continuation,true,high,high,qa/table_page_images/page_289.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
074,表 2-15,表 2.15 高龄老年人一周活动举例,表 2-15 高龄老年人一周活动举例,290,converted,true,high,high,qa/table_page_images/page_290.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
075,表 2-16,表 2-16 ”全素和蛋奶素成年人的推荐膳食组成,表 2-16 全素和蛋奶素成年人的推荐膳食组成,294,converted,true,high,high,qa/table_page_images/page_294.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
076,表 2-16,续表（接 表 2-16）,续表 2-16 全素和蛋奶素成年人的推荐膳食组成,295,merged_continuation,true,high,high,qa/table_page_images/page_295.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
077,表 3-1,表3-1)。,表3-1)。,308,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_308.png,正文引用“表 3-1”，不是表题。
078,表 3-1,表 3-1 “食物与健康文献证据综合评价表,表 3-1 食物与健康文献证据综合评价表,308,merged_continuation,true,high,high,qa/table_page_images/page_308.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
079,表 3-3,表 3-3 常见腾食定性术语和概念描述,表 3-3 常见膳食定性术语和概念描述,311,converted,true,medium,medium,qa/table_page_images/page_311.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
080,表 3-4,表 3-4 ”常见食物定性和定量描述,表 3-4 常见食物定性和定量描述,312,converted,true,medium,medium,qa/table_page_images/page_312.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
081,表 3-4,续表（接 表 3-4）,续表 3-4 常见食物定性和定量描述,313,merged_continuation,true,medium,medium,qa/table_page_images/page_313.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
082,表 3-5,表3-5 提供了 2 岁以上所有健康人群平衡腾食的食物组成，按照表 3-5，计算理想,表3-5 提供了 2 岁以上所有健康人群平衡腾食的食物组成，按照表 3-5，计算理想,317,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_317.png,正文引用表 3-5 和表 3-6，不是独立表题。
083,表 3-6,表 3-6 不同能量需要水平下的平衔膳食模式所提供的能量和营养素 和 ，,表 3-6 不同能量需要水平下的平衡膳食模式所提供的能量和营养素,317,converted,true,medium,medium,qa/table_page_images/page_317.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
084,表 3-7,表 3-7，不同能量需要水平的平衡腾食模式所提供能量和来源构成比,表 3-7 不同能量需要水平的平衡膳食模式所提供能量和来源构成比,318,converted,true,high,high,qa/table_page_images/page_318.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
085,表 3-7,续表（接 表 3-7）,续表 一日三餐举例（2250kcal）,329,merged_continuation,true,medium,medium,qa/table_page_images/page_329.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
086,表 3-7,续表（接 表 3-7）,续表 一日三餐举例（2400kcal）,331,merged_continuation,true,medium,medium,qa/table_page_images/page_331.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
087,表 3-7,续表（接 表 3-7）,续表 一日三餐举例（2250kcal）,335,merged_continuation,true,medium,medium,qa/table_page_images/page_335.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
088,表 3-7,续表（接 表 3-7）,续表 一日三餐举例（2300kcal）,337,merged_continuation,true,medium,medium,qa/table_page_images/page_337.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
089,附表 1-1,附表 1-1 常见食物的标准份量 ( 以可食部计),附表 1-1 常见食物的标准份量（以可食部计）,348,converted,true,medium,medium,qa/table_page_images/page_348.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
090,附表 1-3,附表 1-3 和附表 1-4. ;,附表 1-3 和附表 1-4. ;,349,not_a_table_after_review,true,high,n/a,qa/table_page_images/page_349.png,正文引用附表 1-2、附表 1-3 和附表 1-4，不是表题。
091,附表 十2,附表十2 “标准物品定义和用和途 ig,附表 1-2 标准物品定义和用途,349,converted,true,medium,medium,qa/table_page_images/page_349.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
092,附表 1-3,附表 1-3 ”参考手势的定义和用途,附表 1-3 参考手势的定义和用途,350,merged_continuation,true,medium,medium,qa/table_page_images/page_350.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
093,附表 1-4,附表 1-4 ，食物标准份量示意图,附表 1-4 食物标准份量示意图,351,converted,true,medium,medium,qa/table_page_images/page_351.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
094,附表 1-4,续表（接 附表 1-4）,续附表 1-4 食物标准份量示意图,352,merged_continuation,true,medium,medium,qa/table_page_images/page_352.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
095,附表 1-4,续表（接 附表 1-4）,续附表 1-4 食物标准份量示意图,353,merged_continuation,true,medium,medium,qa/table_page_images/page_353.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
096,附表 2-1,附表 2-1 ”中国居民膳食能量需要量 ( EER )、宏量营养素可接受范围 ( AMDR )、蛋白质推荐摄入量 (RNI),附表 2-1 中国居民膳食能量需要量（EER）、宏量营养素可接受范围（AMDR）、蛋白质推荐摄入量（RNI）,354,converted,true,medium,medium,qa/table_page_images/page_354.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
097,附表 5-1,附表 5-1 FRSA 6~18 岁学龄儿童青少年生长迟缓的年龄别身高的界值范围,附表 5-1 6-18 岁学龄儿童青少年生长迟缓的年龄别身高界值范围,361,converted,true,medium,medium,qa/table_page_images/page_361.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
098,附表 5-2,附表 5-2 FA URES 6~18 岁学龄儿童青少年营养状况的 BMI 界值范围,附表 5-2 6-18 岁学龄儿童青少年营养状况的 BMI 界值范围,362,converted,true,medium,medium,qa/table_page_images/page_362.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
099,附表 5-4,附表 5-4 ”用于筛查 7~18 岁学龄儿童青少年高腰围的界值范围,附表 5-4 用于筛查 7-18 岁学龄儿童青少年高腰围的界值范围,364,converted,true,medium,medium,qa/table_page_images/page_364.png,按渲染页图复核表题和列结构；OCR 疑难字未全部做出版级逐字校订。
